,top,mac,mult,mult_2x2,count,out_reg,in_reg,others,seq,comb
BG_L2_L4_00_L3_00_L2_00_DVAFS_0,464824,464130,182733,16380,0,87859,694,359891,88553,376271
BG_L2_L4_00_L3_00_L2_10_DVAFS_0,286557,284830,167777,16380,0,27463,1727,240987,29190,257367
BG_L2_L4_00_L3_00_L2_11_DVAFS_0,233604,230845,154400,16380,0,13583,2759,200882,16342,217262
BG_L2_L4_00_L3_10_L2_00_DVAFS_0,358813,357086,260931,16380,0,27142,1727,313564,28869,329944
BG_L2_L4_00_L3_10_L2_10_DVAFS_0,243749,236910,204311,16441,0,8559,6839,211910,15398,228351
BG_L2_L4_00_L3_10_L2_11_DVAFS_0,188112,181199,165235,16384,0,3758,6913,161057,10671,177441
BG_L2_L4_00_L3_11_L2_00_DVAFS_0,311772,306023,273107,16503,0,8130,5749,281390,13879,297893
BG_L2_L4_00_L3_11_L2_10_DVAFS_0,229287,215490,207390,17719,0,2422,13797,195349,16219,213068
BITFUSION,185925,172737,169575,16853,0,1213,13188,154671,14401,171524
BG_L2_L4_10_L3_00_L2_00_DVAFS_0,384993,383253,286790,16380,0,27508,1740,339365,29248,355745
BG_L2_L4_10_L3_00_L2_10_DVAFS_0,263187,257285,225074,16380,0,8202,5902,232703,14104,249083
BG_L2_L4_10_L3_00_L2_11_DVAFS_0,214567,207528,191557,16387,0,3760,7039,187381,10799,203768
BG_L2_L4_10_L3_10_L2_00_DVAFS_0,343993,334970,301845,19683,0,8492,9023,306795,17515,326478
BG_L2_L4_10_L3_10_L2_10_DVAFS_0,282259,248223,239352,18443,0,2404,34036,227376,36440,245819
BG_L2_L4_10_L3_10_L2_11_DVAFS_0,214436,183596,180624,17668,0,1035,30840,164893,31875,182561
BG_L2_L4_10_L3_11_L2_00_DVAFS_0,345164,322896,315075,25128,0,2443,22268,295325,24711,320453
BG_L2_L4_10_L3_11_L2_10_DVAFS_0,314492,263297,261148,23975,0,699,51195,238623,51894,262598
BG_L2_L4_10_L3_11_L2_11_DVAFS_0,264745,203260,202392,22846,0,289,61485,180125,61774,202971
BG_L2_L4_11_L3_00_L2_00_DVAFS_0,342075,337853,304774,16868,0,8218,4222,312767,12440,329635
BG_L2_L4_11_L3_00_L2_10_DVAFS_0,258372,247535,239882,17874,0,2410,10837,227251,13247,245125
BG_L2_L4_11_L3_00_L2_11_DVAFS_0,220388,205602,202533,17199,0,1044,14786,187359,15830,204558
BG_L2_L4_11_L3_10_L2_00_DVAFS_0,341145,327802,319832,22475,0,2438,13343,302889,15781,325364
BG_L2_L4_11_L3_10_L2_10_DVAFS_0,333792,276070,273902,24058,0,710,57722,251302,58432,275360
BG_L2_L4_11_L3_10_L2_11_DVAFS_0,264636,208464,207515,21297,0,293,56172,186874,56465,208171
BG_L2_L4_11_L3_11_L2_00_DVAFS_0,404241,366568,364501,27698,0,807,37673,338063,38480,365761
BG_L2_L4_11_L3_11_L2_10_DVAFS_0,479885,390720,389902,46220,0,349,89165,344151,89514,390371
BG_L2_L4_11_L3_11_L2_11_DVAFS_0,404689,290700,290416,33291,0,78,113989,257331,114067,290622
BG_L3_L4_00_L3_00_L2_10_DVAFS_0,200079,198352,101674,16380,0,27429,1727,154543,29156,170923
BG_L3_L4_00_L3_00_L2_11_DVAFS_0,125105,118658,88356,17780,0,8135,6447,92743,14582,110523
BG_L3_L4_00_L3_10_L2_10_DVAFS_0,160361,154498,122335,16380,0,8233,5863,129885,14096,146265
BG_L3_L4_00_L3_10_L2_11_DVAFS_0,132510,115461,105263,19885,0,2393,17049,93183,19442,113068
BG_L3_L4_00_L3_11_L2_10_DVAFS_0,150376,143462,131564,16380,0,3773,6914,123309,10687,139689
BITBLADE,128700,110383,106033,18146,0,1026,18317,91211,19343,109357
BG_L3_L4_10_L3_00_L2_10_DVAFS_0,191194,182541,149329,19260,0,9112,8653,154169,17765,173429
BG_L3_L4_10_L3_00_L2_11_DVAFS_0,128836,113002,105451,19208,0,2405,15834,91389,18239,110597
BG_L3_L4_10_L3_10_L2_10_DVAFS_0,186205,155487,146868,16767,0,2411,30718,136309,33129,153076
BG_L3_L4_10_L3_10_L2_11_DVAFS_0,174807,128430,126279,22035,0,693,46377,105702,47070,127737
BG_L3_L4_10_L3_11_L2_10_DVAFS_0,183642,152170,149271,16770,0,1032,31472,134368,32504,151138
BG_L3_L4_10_L3_11_L2_11_DVAFS_0,191283,135387,134470,22691,0,285,55896,112411,56181,135102
BG_L3_L4_11_L3_00_L2_10_DVAFS_0,165482,154984,146427,18949,0,2817,10498,133218,13315,152167
BG_L3_L4_11_L3_00_L2_11_DVAFS_0,189093,149838,147847,26374,0,687,39255,122777,39942,149151
BG_L3_L4_11_L3_10_L2_10_DVAFS_0,216821,170052,167844,20676,0,694,46769,148682,47463,169358
BG_L3_L4_11_L3_10_L2_11_DVAFS_0,249476,169624,168964,31397,0,197,79852,138030,80049,169427
BG_L3_L4_11_L3_11_L2_10_DVAFS_0,239375,177843,176860,21090,0,291,61532,156462,61823,177552
BG_L3_L4_11_L3_11_L2_11_DVAFS_0,331050,198265,197937,32599,0,108,132785,165558,132893,198157
LOOM,191093,188334,111367,16380,58,34810,2759,137144,37569,153524
BG_BS_L4_00_L3_10_L2_11_DVAFS_0,142930,136015,122546,16380,58,24901,6915,94734,31816,111114
BG_BS_L4_00_L3_11_L2_11_DVAFS_0,139352,128321,124932,16380,58,22128,11031,89813,33159,106193
BG_BS_L4_10_L3_00_L2_11_DVAFS_0,174706,167809,154384,16380,58,24874,6897,126555,31771,142935
BG_BS_L4_10_L3_10_L2_11_DVAFS_0,162271,138846,135110,16380,58,22152,23425,100314,45577,116694
BG_BS_L4_10_L3_11_L2_11_DVAFS_0,159226,131627,130712,16380,58,21693,27599,93554,49292,109934
BG_BS_L4_11_L3_00_L2_11_DVAFS_0,169079,158047,154748,16380,58,22213,11032,119454,33245,135834
BG_BS_L4_11_L3_10_L2_11_DVAFS_0,170611,143012,142091,16380,58,21670,27599,104962,49269,121342
BG_BS_L4_11_L3_11_L2_11_DVAFS_0,184144,140033,139678,16380,58,22509,44111,101144,66620,117524
