,top,mac,mult,mult_2x2,count,out_reg,in_reg,others,seq,comb
BG_L2_L4_00_L3_00_L2_00_DVAFS_1,173095,172401,76814,16380,0,21970,694,134051,22664,150431
BG_L2_L4_00_L3_00_L2_11_DVAFS_1,170547,169853,93067,16380,0,13655,694,139818,14349,156198
BG_L2_L4_00_L3_10_L2_00_DVAFS_1,146553,144826,105590,16380,0,18750,1727,109696,20477,126076
BG_L2_L4_00_L3_10_L2_11_DVAFS_1,115390,113663,101778,16380,0,3773,1727,93510,5500,109890
BG_L2_L4_00_L3_11_L2_00_DVAFS_1,119950,117189,103997,16380,0,6477,2761,94332,9238,110712
BG_L2_L4_00_L3_11_L2_11_DVAFS_1,109830,107071,103805,16380,0,1029,2759,89662,3788,106042
BG_L2_L4_10_L3_00_L2_00_DVAFS_1,138533,136804,108462,16380,0,6810,1729,113614,8539,129994
BG_L2_L4_10_L3_00_L2_11_DVAFS_1,129640,127913,116035,16380,0,3773,1727,107760,5500,124140
BG_L2_L4_10_L3_10_L2_00_DVAFS_1,134671,128813,116198,16380,0,8413,5858,104020,14271,120400
BG_L2_L4_10_L3_10_L2_11_DVAFS_1,117669,111806,108541,16380,0,1029,5863,94397,6892,110777
BG_L2_L4_10_L3_11_L2_00_DVAFS_1,117490,110594,107195,16380,0,1818,6896,92396,8714,108776
BG_L2_L4_10_L3_11_L2_11_DVAFS_1,113479,106564,105665,16380,0,278,6915,89906,7193,106286
BG_L2_L4_11_L3_00_L2_00_DVAFS_1,135099,132339,120056,16380,0,5563,2760,110396,8323,126776
BG_L2_L4_11_L3_00_L2_11_DVAFS_1,120418,117659,114392,16380,0,1029,2759,100250,3788,116630
BG_L2_L4_11_L3_10_L2_00_DVAFS_1,126098,119202,115601,16380,0,4547,6896,98275,11443,114655
BG_L2_L4_11_L3_10_L2_11_DVAFS_1,114198,107284,106384,16380,0,278,6914,90626,7192,107006
BG_L2_L4_11_L3_11_L2_00_DVAFS_1,118420,107388,106842,16380,0,169,11032,90839,11201,107219
BG_L2_L4_11_L3_11_L2_11_DVAFS_1,116530,105498,105299,16380,0,74,11032,89044,11106,105424
